year_film,nominee_label,winner,prob,rank,top_pick,actual_winner,winner_rank,correct
2016,Casey Affleck (Manchester by the Sea),False,0.9186,1,Casey Affleck (Manchester by the Sea),Denzel Washington (Fences),3,False
2016,Ryan Gosling (La La Land),False,0.7879,2,Casey Affleck (Manchester by the Sea),Denzel Washington (Fences),3,False
2016,Denzel Washington (Fences),True,0.0335,3,Casey Affleck (Manchester by the Sea),Denzel Washington (Fences),3,False
2016,Andrew Garfield (Hacksaw Ridge),False,0.0057,4,Casey Affleck (Manchester by the Sea),Denzel Washington (Fences),3,False
2016,Viggo Mortensen (Captain Fantastic),False,0.0028,5,Casey Affleck (Manchester by the Sea),Denzel Washington (Fences),3,False
2017,Gary Oldman (Darkest Hour),True,0.9157,1,Gary Oldman (Darkest Hour),Gary Oldman (Darkest Hour),1,True
2017,James Franco (The Disaster Artist),False,0.1246,2,Gary Oldman (Darkest Hour),Gary Oldman (Darkest Hour),1,True
2017,Daniel Kaluuya (Get Out),False,0.0095,3,Gary Oldman (Darkest Hour),Gary Oldman (Darkest Hour),1,True
2017,Timothée Chalamet (Call Me by Your Name),False,0.007,4,Gary Oldman (Darkest Hour),Gary Oldman (Darkest Hour),1,True
2017,"Denzel Washington (Roman J. Israel, Esq.)",False,0.0015,5,Gary Oldman (Darkest Hour),Gary Oldman (Darkest Hour),1,True
2018,Rami Malek (Bohemian Rhapsody),True,0.9954,1,Rami Malek (Bohemian Rhapsody),Rami Malek (Bohemian Rhapsody),1,True
2018,Viggo Mortensen (Green Book),False,0.2772,2,Rami Malek (Bohemian Rhapsody),Rami Malek (Bohemian Rhapsody),1,True
2018,Bradley Cooper (A Star Is Born),False,0.0644,3,Rami Malek (Bohemian Rhapsody),Rami Malek (Bohemian Rhapsody),1,True
2018,Person_John_David_Washington (BlacKkKlansman),False,0.007,4,Rami Malek (Bohemian Rhapsody),Rami Malek (Bohemian Rhapsody),1,True
2018,Christian Bale (Vice),False,0.0054,5,Rami Malek (Bohemian Rhapsody),Rami Malek (Bohemian Rhapsody),1,True
2019,Joaquin Phoenix (Joker),True,0.9861,1,Joaquin Phoenix (Joker),Joaquin Phoenix (Joker),1,True
2019,Leonardo DiCaprio (Once upon a Time...in Hollywood),False,0.2101,2,Joaquin Phoenix (Joker),Joaquin Phoenix (Joker),1,True
2019,Christian Bale (Ford v Ferrari),False,0.054,3,Joaquin Phoenix (Joker),Joaquin Phoenix (Joker),1,True
2019,Person_Taron_Egerton (Rocketman),False,0.0186,4,Joaquin Phoenix (Joker),Joaquin Phoenix (Joker),1,True
2019,Adam Driver (Marriage Story),False,0.0034,5,Joaquin Phoenix (Joker),Joaquin Phoenix (Joker),1,True
2020,Chadwick Boseman (Ma Rainey's Black Bottom),True,0.0053,1,Chadwick Boseman (Ma Rainey's Black Bottom),Chadwick Boseman (Ma Rainey's Black Bottom),1,True
2020,Riz Ahmed (Sound of Metal),False,0.0042,2,Chadwick Boseman (Ma Rainey's Black Bottom),Chadwick Boseman (Ma Rainey's Black Bottom),1,True
2020,Steven Yeun (Minari),False,0.0027,3,Chadwick Boseman (Ma Rainey's Black Bottom),Chadwick Boseman (Ma Rainey's Black Bottom),1,True
2020,Gary Oldman (Mank),False,0.0016,4,Chadwick Boseman (Ma Rainey's Black Bottom),Chadwick Boseman (Ma Rainey's Black Bottom),1,True
2020,Anthony Hopkins (The Father),False,0.0009,5,Chadwick Boseman (Ma Rainey's Black Bottom),Chadwick Boseman (Ma Rainey's Black Bottom),1,True
2021,Benedict Cumberbatch (The Power of the Dog),False,0.8804,1,Benedict Cumberbatch (The Power of the Dog),Will Smith (King Richard),2,False
2021,Will Smith (King Richard),True,0.7297,2,Benedict Cumberbatch (The Power of the Dog),Will Smith (King Richard),2,False
2021,Javier Bardem (Being the Ricardos),False,0.1353,3,Benedict Cumberbatch (The Power of the Dog),Will Smith (King Richard),2,False
2021,Denzel Washington (The Tragedy of Macbeth),False,0.1333,4,Benedict Cumberbatch (The Power of the Dog),Will Smith (King Richard),2,False
2021,"Andrew Garfield (tick, tick...BOOM!)",False,0.0216,5,Benedict Cumberbatch (The Power of the Dog),Will Smith (King Richard),2,False
2022,Austin Butler (Elvis),False,0.9617,1,Austin Butler (Elvis),Brendan Fraser (The Whale),4,False
2022,Person_Adam_Sandler (Hustle),False,0.0198,2,Austin Butler (Elvis),Brendan Fraser (The Whale),4,False
2022,Colin Farrell (The Banshees of Inisherin),False,0.0167,3,Austin Butler (Elvis),Brendan Fraser (The Whale),4,False
2022,Brendan Fraser (The Whale),True,0.0144,4,Austin Butler (Elvis),Brendan Fraser (The Whale),4,False
2022,Bill Nighy (Living),False,0.0111,5,Austin Butler (Elvis),Brendan Fraser (The Whale),4,False
2023,Cillian Murphy (Oppenheimer),True,0.9958,1,Cillian Murphy (Oppenheimer),Cillian Murphy (Oppenheimer),1,True
2023,Jeffrey Wright (American Fiction),False,0.0273,2,Cillian Murphy (Oppenheimer),Cillian Murphy (Oppenheimer),1,True
2023,Colman Domingo (Rustin),False,0.0211,3,Cillian Murphy (Oppenheimer),Cillian Murphy (Oppenheimer),1,True
2023,Paul Giamatti (The Holdovers),False,0.0109,4,Cillian Murphy (Oppenheimer),Cillian Murphy (Oppenheimer),1,True
2023,Bradley Cooper (Maestro),False,0.0073,5,Cillian Murphy (Oppenheimer),Cillian Murphy (Oppenheimer),1,True
2024,Adrien Brody (The Brutalist),False,0.9852,1,Adrien Brody (The Brutalist),Timothée Chalamet (A Complete Unknown),4,False
2024,Ralph Fiennes (Conclave),False,0.0372,2,Adrien Brody (The Brutalist),Timothée Chalamet (A Complete Unknown),4,False
2024,Colman Domingo (Sing Sing),False,0.0097,3,Adrien Brody (The Brutalist),Timothée Chalamet (A Complete Unknown),4,False
2024,Timothée Chalamet (A Complete Unknown),True,0.006,4,Adrien Brody (The Brutalist),Timothée Chalamet (A Complete Unknown),4,False
2024,Person_Daniel_Craig (Queer),False,0.0038,5,Adrien Brody (The Brutalist),Timothée Chalamet (A Complete Unknown),4,False
